"Identyfikator instytucji na Fedrowaniu (FEDR_id)","Nazwa instytucji na Fedrowaniu (FEDR_name)","Nazwa systemu","Funkcja systemu","Uwagi dodatkowe"
"5430","Ministerstwo Rozwoju i Technologii",,"Elementy AI wykorzystywane są również w MRiT w systemach służących zabezpieczeniom przed zagrożeniami płynącymi z sieci Internet. ",
"5431","Ministerstwo Finansów","OKO-RTG","System wspierający wykrywanie przemytu wyrobów tytoniowych poprzez analizę zdjęć rentgenowskich w transporcie drogowym i kolejowym za pomocą zaawansowanych algorytmów AI. Generuje predykcje i informuje funkcjonariuszy celno-skarbowych o potencjalnej kontrabandzie. Usprawnia proces kontroli i zwiększa skuteczność wykrywania przemytu.",
"5431","Ministerstwo Finansów","Wirtualny Asystent Klienta (WAK)","    *   **Chatbot (Kaspro)**: Udziela odpowiedzi na proste pytania z obszaru podatku od spadków i darowizn, podatku od czynności cywilnoprawnych, usługi Twój e-PIT, a także automatycznie przekierowuje klienta do pracownika obsługującego kanał chat.     *   **Voicebot (Kasja)**: Automatycznie rozpoznaje zapytanie klienta i przekierowuje na odpowiednią kolejkę tematyczną do pracownika obsługującego kanał telefoniczny. Oba rozwiązania WAK zwiększają efektywność obsługi podatników.",
"5488","Regionalna Izba Obrachunkowa w Krakowie","Bestia","o przekazywania do GUS sprawozdań jednostkowych, pozwala generować automatycznie raporty oraz jest systemem analizującym dane w celu wspomagania decyzji",
"7330","Miejskie Wodociągi i Kanalizacja w Bydgoszczy - Sp. z o.o.","System Inteligentnego Sterowania Retencją Zbiornikową (SIS-RZ)","Funkcją systemu jest centralne sterowanie układem sieci deszczowej obejmującym kilkadziesiąt zbiorników retencyjnych na terenie Bydgoszczy, aby zapewnić ponowne wykorzystanie wód opadowych lub bezpieczne ich odprowadzenie, minimalizując ryzyko podtopień. System zbiera dane z setek czujników, analizuje prognozy pogody, monitoruje pomiary z deszczomierzy i korzysta z cyfrowego modelu hydraulicznego. Na tej podstawie podejmuje decyzje o zdalnym sterowaniu poziomem wody w zbiornikach (opróżnianiu lub napełnianiu). Wykorzystuje zaawansowany proces weryfikacji danych i sztuczną inteligencję, która wspomaga sterowanie układem zbiorników, ucząc się na podstawie rzeczywistych reakcji systemu. System SIS-RZ został opracowany w ramach prac badawczo-rozwojowych.",
"7434","Krakowski Holding Komunalny SA","ChatGpt","wsparcie merytoryczne w codziennej pracy – wykorzystywany jest m.in. do uzyskiwania wskazówek dotyczących efektywnego korzystania z programów biurowych, takich jak Microsoft Excel, w tym w zakresie formuł czy usprawnienia analiz danych. Pełni również funkcję zaawansowanego narzędzia wyszukującego, które pomaga w szybkim pozyskiwaniu informacji z różnych obszarów tematycznych.",
"7434","Krakowski Holding Komunalny SA","system obrazowej analizy odpadów","Pilotażowy projekt wdrażania systemu obrazowej analizy odpadów (we współpracy z Firmą Wasteer), który pozwala na analizę strumienia odpadów trafiających do instalacji w czasie rzeczywistym. Umożliwia m.in.: natychmiastowe wykrywanie dużych obiektów mogących uszkodzić elementy infrastruktury (np. odżużlacz), automatyczną weryfikację zgodności odpadów z dokumentacją (np. kodami odpadów), szacowanie kaloryczności odpadów, wspomaganie pracy suwnicy i chwytaków, a w przyszłości również określanie poziomu frakcji biodegradowalnej. ",
"7792","Miejskie Wodociągi i Kanalizacja Spółka z o.o. w Koszalinie","system kontroli pracy farmy fotowoltaicznej","W organizacji jest wykorzystywany system kontroli pracy farmy fotowoltaicznej, który generuje dane do Microsoft Azure SQL. Na podstawie tych danych wejściowych powstają wizualizacje danych w usłudze Power BI. W odpowiedzi na pytanie ",
"7829","Zakład Wodociągów i Kanalizacji sp. z o.o. z siedzibą w Nowej Rudzie","GravityZone Business Security Enterprise",,
"7993","DOBRZYCA","posiedzenia.pl","do automatycznego generowania napisów z nagrań wideo posiedzeń Rady Miejskiej Gminy","Celem jest zapewnienie dostępności transkrypcji z posiedzeń"
"7994","MODLIBORZYCE","e-Sesja","automatycznie przetwarzające nagrania audio z sesji Rady Miejskiej","Narzędzie to służy do wsparcia pracowników przy generowaniu transkrypcji dla video oraz tworzeniu protokołu z Obrad Rady Miejskiej. Dane wygenerowane są każdorazowo weryfikowane i korygowane przez pracownika."
"7996","STEPNICA",,"system informatyczny umożliwiający automatyczne tworzenie napisów do nagrań z sesji Rady Miejskiej na podstawie dźwięku",
"8005","Kuratorium Oświaty we Wrocławiu","ChatGPT, Copilot, PLLUM","testowania w kontekście potencjalnego wykorzystania w administracji publicznej (w szczególności w zakresie wsparcia pracy z tekstem, dostosowywania szablonów pism, korekty językowej i stylistycznej), wstępnej klasyfikacji zanonimizowanych odpowiedzi na pytania otwarte w ankietach, wsparcia w opracowywaniu tzw. tekstów alternatywnych dla grafik publikowanych na stronie internetowej (zgodnie z zasadami dostępności cyfrowej), dostosowywania formy tych samych treści do publikacji w różnych mediach (np. na stronie internetowej oraz na profilu na Facebooku), wspomagania organizacji niektórych przedsięwzięć okazjonalnych (np. poprzez generowanie materiałów wstępnych, list kontrolnych ułatwiających monitorowanie realizacji działań). ",
"8481","PUP w Białej Podlaskiej","ChatGPT i inne","   - Wykorzystywane do: redagowania szkiców tekstów informacyjnych, opracowywania materiałów edukacyjnych i promocyjnych, poprawy językowej i stylistycznej gotowych treści.    - Zastosowanie: wewnętrzne wsparcie redakcyjne pracowników.","służące wsparciu procesów informacyjnych, analitycznych oraz komunikacyjnych. Stosowane są wyłącznie w charakterze asystenta merytorycznego, niepodejmującego decyzji i nieuczestniczącego w procesach administracyjnych skutkujących rozstrzygnięciami wobec obywateli. Wszystkie wymienione systemy i narzędzia pełnią funkcje wsparcia informacyjnego i komunikacyjnego. "
"8481","PUP w Białej Podlaskiej","Canva AI, DALL-E i inne","   - Wykorzystywane do tworzenia: grafik promocyjnych, infografik informacyjnych, materiałów wizualnych na potrzeby mediów społecznościowych i szkoleń.    - Zastosowanie: działania promocyjno-informacyjne.",
"8481","PUP w Białej Podlaskiej","Narzędzia analizy danych (ankiety, formularze)","   - Służą do: analizy odpowiedzi w ankietach i badaniach ewaluacyjnych, tworzenia raportów i podsumowań (w tym generowanych automatycznie), identyfikacji ogólnych trendów lub preferencji wśród uczestników szkoleń lub odbiorców usług.    - Zastosowanie: pomocnicze opracowanie danych zbiorczych, bez oceny indywidualnej uczestników."," Stosowane są wyłącznie w charakterze asystenta merytorycznego, niepodejmującego decyzji i nieuczestniczącego w procesach administracyjnych skutkujących rozstrzygnięciami wobec obywateli. Wszystkie wymienione systemy i narzędzia pełnią funkcje wsparcia informacyjnego i komunikacyjnego. "
"8481","PUP w Białej Podlaskiej","NotebookLM","   - Narzędzie wykorzystywane przez pracowników w celach: analizy treści aktów prawnych (ustaw, rozporządzeń), szybkiego odnajdywania informacji w dokumentach prawnych.    - Zastosowanie: pomoc interpretacyjna w pracy pracowników."," Stosowane są wyłącznie w charakterze asystenta merytorycznego, niepodejmującego decyzji i nieuczestniczącego w procesach administracyjnych skutkujących rozstrzygnięciami wobec obywateli. Wszystkie wymienione systemy i narzędzia pełnią funkcje wsparcia informacyjnego i komunikacyjnego. "
"8484","PUP w Zamościu","InfoPulpit","pozwala na analizę danych w postaci wartości lub wykresów","firmy Sygnity, który zasilany danymi z sysirmy Sygnity, któr"
"8507","PUP w Radomsku","SyriuszSTD",,
"8534","PUP w Wadowicach","ChatGPT"," sporadycznie wykorzystuje w wersji darmowej do realizacji zadań",
"8570","PUP w Wyszkowie","ESET Inspect","Wykorzystuje on sztuczną inteligencję do wydajnego przetwarzania incydentów, diagnozuje nietypowe zachowania i naruszenia w sieci firmowej. ",
"8682","PUP w Starachowicach",,"wykorzystuje się systemy informatyczne wspomagające podejmowanie decyzji takich jak np. wysokość zasiłku, okres pobierania zasiłku, czy osobie lub instytucji przysługuje jakaś forma wsparcia czy też nie itp. Są to systemy wspomagające, pracujące w oparciu o ściśle określone reguły zaprogramowane przez programistów, nie posiadają możliwości adaptacji po wdrożeniu. Zmiany w działaniu wymagają wprowadzenia zmian przez programistów i aktualizację systemów.",
"8691","PUP w Iławie","chatbot"," autoresponder na facebooku urzędu.",
"8732","PUP w Złotowie","SYRIUSZ 510","do analizowania danych w celu wspomagania tworzenia decyzji administracyjnej.",
"8742","PUP w Gryfinie","Syriusz STD"," w celu generowania raportów, zestawień i klasyfikacji danych rejestrowych (dot. klientów PUP i realizowanych form pomocy).",
"8742","PUP w Gryfinie","Europejskie narzędzie do oceny poziomu umiejętności cyfrowych"," narzędzie wspomagające ocenę kompetencji cyfrowych osób młodych korzystających z usług PUP.",
"8742","PUP w Gryfinie","NBK (Narzędzie Badania kompetencji) oraz KZZ (Kwestionariusz Zainteresowania Zawodowego)","narzędzia wspomagające usługi doradztwa zawodowego świadczone dla klientów PUP.",
"8742","PUP w Gryfinie","ABBY Finereader 8.0","w celu automatycznego rozpoznawania tekstu techniką OCR.",
"8764","Kancelaria Senatu","beey.io","do przetwarzania mowy na tekst;",
"8764","Kancelaria Senatu","cyberbezpieczeństwo","narzędzia AI (nabyte w ramach licencji na oprogramowanie) wykorzystywane do zapewnienia cyberbezpieczeństwa sieci",
"8765","Trybunał Konstytucyjny","Newton","do transkrypcji dźwięku na tekst",
"8765","Trybunał Konstytucyjny","oprogramowanie OCR","oprogramowanie OCR zamieniające grafikę na tekst",
"8777","Komenda Wojewódzka Policji w Białymstoku","ANPR (Automatic Number Plate Recognition)","do odczytu i analizy numerów tablic rejestracyjnych pojazdów",
"8781","Komenda Wojewódzka Policji w Katowicach","Whisper","transkrypcja mowy)",
"8781","Komenda Wojewódzka Policji w Katowicach","UFED Premium","odblokowywanie i ekstrakcja danych z urządzeń iOS i Android",
"8791","Komenda Wojewódzka Policji w Szczecinie","Cellebritr Physical Analyzer i Inseyets Phisical Analyzer","System ten automatycznie przetwarza multimedia (obrazy i klatki wideo) przy użyciu algorytmów uczenia maszynowego, generując kategoryzacje wspierające analizę dowodów cyfrowych. Funkcja wykorzystuje uczenie maszynowe do lokalnego przetwarzania danych (offline) bez dostępu do sieci Internet. Wszystkie operacje odbywają się wyłącznie na infrastrukturze informatycznej Laboratorium, a przetwarzane dane nie są udostępniane podmiotom zewnętrznym. Obsługiwane kategorie klasyfikacji to: Camera, Cars, Credit cards, Documents, Drugs, Face, Food, Photo ID, Flags, Gatherings, Hand holding objects, Handwriting, Hotel rooms, Invoices, Jewelry, Maps, Money, Motorcycles, Nudity, Tattoos, Weapons, Screenshots, Smartphones, Suspected CSA (Child Sexual Abuse), Vehicle dashboards. Generowane kategoryzacje jedynie wspierają szybką identyfikację materiałów o znaczeniu kryminalistycznym. Decyzje końcowe zawsze wymagają zatwierdzenia przez człowieka, co eliminuje ryzyko autonomicznych decyzji systemu.","W Pracowni badań informatycznych Laboratorium Kryminalistycznego Komendy Wojewódzkiej Policji w Szczecinie wykorzystywane są funkcje Madia Classification"
"8791","Komenda Wojewódzka Policji w Szczecinie","Link4, Holmes","oparte na arkuszach kalkulacyjnych, służące do analizy danych telekomunikacyjnych,","W Wydziale Kryminalnym Komendy Wojewódzkiej Policji w Szczecinie "
"19414","Prokuratura Okręgowa w Łodzi","NEWTON Dictate","wyłącznie do transkrypcji mowy na tekst pisany.",
"19461","Babiogórski Park Narodowy","CrowdLynx","badanie eksploracyjne w kierunku wytworzenia narzędzi badawczych do automatyzacji procesów akwizycji i przetwarzania danych wizualnych rysia euroazjatyckiego (Lynx lynx) na bazie crowdsourcingu i nauki obywatelskiej. ",
"19461","Babiogórski Park Narodowy","Snapshot Europe 2021-2024","do automatycznego przetwarzania danych z fotopułapek",
"19461","Babiogórski Park Narodowy","Trapper","do automatycznego przetwarzania danych z fotopułapek.",
"19467","Karkonoski Park Narodowy","Trapper","przetwarza dane obrazowe – zdjęcia z fotopułapek. System służy do monitoringu fauny,",
"19644","Wojewódzki Sąd Administracyjny w Białymstoku","Oki, Xerox, Kodak"," oprogramowanie do rozpoznawania skanowanego tekstu, dostarczone wraz z urządzeniami skanującymi producentów",
"19656","Wojewódzki Sąd Administracyjny w Rzeszowie","NEWTON Dictate","do zamiany danych wejściowych w postaci dźwięku na tekst",
"19656","Wojewódzki Sąd Administracyjny w Rzeszowie","LibreOffice","do zamiany danych wejściowych w postaci dźwięku na tekst.",
"19656","Wojewódzki Sąd Administracyjny w Rzeszowie","AI Overviews","żytkownicy poszukując informacji w wyszukiwarce internetowej Google, otrzymują podsumowania odpowiedzi na zapytania w postaci funkcji ""Przegląd od AI"" ","To jest funkcja wyszukiwarki Google. Godna uznania refleksja, w sensie zauważenie tego ze strony organu."
"38226","Wojewódzki Inspektorat Transportu Drogowego w Kielcach","antena DSRC ","do zdalnego odczytywania i analizy informacji pochodzących z tachografów",
"38226","Wojewódzki Inspektorat Transportu Drogowego w Kielcach","ChatGPT, translatory"," pisma wychodzące korzystają sporadycznie",
"38260","Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","Lex","Funkcje AI obejmują automatyczne analizowanie tekstów prawnych, generowanie podsumowań orzeczeń, kontekstowe wyszukiwanie w dokumentach oraz sugerowanie odpowiednich przepisów lub interpretacji na podstawie zapytań tekstowych.",
"38260","Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","Cisco Webex Meetings (AI Assistant)"," automatyczne generowanie podsumowań spotkań, transkrypcję w czasie rzeczywistym, identyfikację mówców oraz generowanie notatek i akcji po spotkaniowych",
"38260","Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","FortiGate","Zapory sieciowe Fortinet z FortiAI analizują ruch sieciowy, wykrywają anomalie, przewidują zagrożenia i automatycznie reagują na incydenty bezpieczeństwa (np. blokowanie podejrzanego ruchu)",
"38260","Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","Windows Copilot"," Przetwarza dane w języku naturalnym, wspierając zadania biurowe (np. wyszukiwanie informacji).",
"38260","Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Opolu","Google Chrome","Funkcje AI (np. asystent Gemini) wspierają wyszukiwanie i personalizację treści.",
"38268","Regionalny Zarząd Gospodarki Wodnej w Gdańsku","eXtracToolbox WoDeX","Jego funkcja polega na automatycznym wydobywaniu informacji ze sprawozdań dotyczących pomiarów ilości pobieranych wód oraz ilości i jakości ścieków, a także na szybkim zapisie 14 wybranych atrybutów, takich jak: Podmiot, Nazwa zakładu, REGON, Organ wydający pozwolenie, Data wydania pozwolenia, Znak pozwolenia, Znak pozwolenia zmieniającego, Recypient, Współrzędne, Działka, Nazwa wskaźnika, Wynik, Jednostka, Data. Prawidłowa ekstrakcja obejmuje jedynie sprawozdania w pełni zgodne z Rozporządzeniem Ministra Gospodarki Morskiej i Żeglugi Śródlądowej z dnia 20 stycznia 2020 r. (Dz.U. z 2020 r., poz. 144).",
"38277","Instytut Meteorologii i Gospodarki Wodnej Państwowy Instytut Badawczy","system do klasyfikacji chmur","system informatyczny do klasyfikacji chmur na podstawie zdjęć.",
"38311","Centralny Ośrodek Szkolenia Służby Więziennej w Kulach"," system rozpoznawania tablic rejestracyjnych","Funkcją tego systemu jest pozwolenie na wjazd na teren jednostki osób do tego uprawnionych",
"38333","Sąd Okręgowy w Rybniku","SAWA","system repertoryjno-biurowy, umożliwiający generowanie raportów na potrzeby statystyczne"," firmy Currenda Sp. z o.o. "
"38333","Sąd Okręgowy w Rybniku","Abby FineReader PDF","system umożliwiający konwertowanie fotografii, dokumentów i plików pdf do edytowalnego formatu, rozpoznawania tekstu.",
"38333","Sąd Okręgowy w Rybniku","LEX Kara łączna","aplikacja bazująca na warunkach i regułach łączenia kar określonych w Kodeksie karnym, która wskazuje, czy można wymierzyć karę łączną oraz w jakich granicach powinien mieścić się jej wymiar. Obliczanie kary łącznej odbywa się po wprowadzeniu podstawowych danych z wyroków, a system analizuje dane w celu wspomożenia podjęcia decyzji",
"38792","Straż Miejska we Wrześni","AxxonOne","system rozpoznawania tablic samochodowych ",
"38839","Straż Miejska w Węgorzynie","Whisper",": Automatyczne rozpoznawanie mowy i tworzenie transkrypcji, Zakres wykorzystania: Transkrypcja nagrań z sesji Rady Miejskiej. System ten przetwarza dane dźwiękowe (nagrania audio) w celu ich automatycznego przekształcenia na tekst, służąc usprawnieniu tworzenia dokumentacji przebiegu sesji rady.",
"38850","Straż Miejska Bydgoszcz","RPA – Robotic Process Automation","do automatycznego przekazywania danych z nałożonych mandatów karnych z systemu Straży Miejskiej do Wydziału Księgowości Urzędu Miasta Bydgoszczy",
"38930","Straż Miejska w Ostrołęce"," Axxon One","do rozpoznawania tablic rejestracyjnych z kamer zlokalizowanych na terenie miasta Ostrołęki"," Funkcjonalność ta jest dostępna dla Straży Miejskiej Ostrołęki i Komendy Miejskiej Policji w Ostrołęce. "
"38964","Straż Miejska w Chojnicach","beey.io","do transkrypcji plików video",
"38964","Straż Miejska w Chojnicach","Canva","do projektowania plików graficznych",
"38964","Straż Miejska w Chojnicach","WPF Asystent","do przygotowania dokumentów związanych z Wieloletnią Prognozą Finansową",
"39011","Straż Miejska w Opolu","Genetec","o monitoringu miejskiego (obsługa obrazu z kamer monitoringu).",
"39927","GRABÓWKA","eSESJA"," do zarządzania pracami rady, obiegiem dokumentów oraz przeprowadzania głosowań) ",
"39927","GRABÓWKA","eNapisy","do tworzenia napisów do filmów i nagrań audio",
"39934","Akademia Mazowiecka w Płocku","beey.io","automatyczna transkrypcja audio na tekst.",
"39945","Akademia Nauk Stosowanych im. Stanisława Staszica w Pile","Wirtualny Asystent Rekrutacji OPTiBOT","usprawnienie komunikacji i dostępności w zakresie oferty i zasad rekrutacji na studia.",
"39945","Akademia Nauk Stosowanych im. Stanisława Staszica w Pile","Wirtualny Asystent Studenta OPTiBOT","usprawnienie komunikacji i udzielenie odpowiedzi (uwierzytelnionym studentom) w zakresie m.in.: ocen, toku studiów, planów zajęć, wykładowcach.","zintegrowany z systemem dziekanatowym USOS"
"39945","Akademia Nauk Stosowanych im. Stanisława Staszica w Pile","kamera GANZ z funkcją LPR (Licence Plate Recognition)","usprawnienie kontroli dostępu do uczelnianego parkingu poprzez rozpoznwanie tablic rejestracyjnych pojazdów.",
"39958","Akademia Sztuki w Szczecinie","Microsoft Copilot Chat",,
"39971","Akademia Wychowania Fizycznego im. Polskich Olimpijczyków we Wrocławiu","Chatbase"," Jest to narzędzie wykorzystywane przede wszystkim do udzielania odpowiedzi użytkownikom, jak również wspierania procesu obsługi użytkownika.","osadzone na stronie bg.awf.wroc.pl"
"39973","Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie","Test FUS","Jest to rozwiązanie utworzone do celów badawczych i naukowych, mające na celu wspieranie nauczycieli, badaczy i rodziców w przeprowadzaniu testów Fundamentalnych Umiejętności Ruchowych w Sporcie (Test FUS). Aplikacja służy m.in. do automatycznej oceny poprawności wykonywania określonych ćwiczeń. System opiera się na zaawansowanych technologiach przetwarzania obrazu i uczenia maszynowego. Dedykowane modele oceny, oparte na różnych algorytmach uczenia maszynowego, analizują ruchy i generują wektor wyników, który informuje użytkownika o poprawności wykonywania ćwiczenia względem pięciu kryteriów. Każde z kryteriów jest oceniane binarnie (wynik 1 lub 0). Wynik wyświetlany jest w aplikacji i w dowolnym momencie może zostać zmieniony przez użytkownika.",
"39975","Centrum Medycznego Kształcenia Podyplomowego","ChatGPT","model językowy, chatbot, asystent Al",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Photoshop","narzędzie do obróbki, tworzenia grafiki zawierające funkcje wykorzystujące sztuczną inteligencje;",
"39975","Centrum Medycznego Kształcenia Podyplomowego","PremierePro","narzędzie do post produkcji materiałów wideo zawierające funkcje wykorzystujące sztuczna inteligencje; ",
"Centrum Medycznego Kształcenia Podyplomowego","Centrum Medycznego Kształcenia Podyplomowego","Transkriptor","narzędzie do transkrypcji",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Canva","platforma do tworzenia grafiki i prezentacji ",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Al Overview","funkcja wyszukiwarki internetowej Google generująca podsumowania odpowiedzi na zadane pytanie skierowane do niej; ",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Edge Analytics Appliance REA-C1000","narzędzie fizyczne umożliwiające śledzenie za pomocą kamery PTZ osób występujących na scenie",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Zoom Al Companion","narzedzie wbudowane w platforme Zoom umożliwiające m.in. tworzenie podsumowań spotkań, wydarzeń",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Transkrypcja Zoom","narzędzie wbudowane w platformę Zoom dokonujące automatycznej transkrypcji wydarzeń;",
"39975","Centrum Medycznego Kształcenia Podyplomowego","Teams redge.ai","narzędzie wbudowane w platforme Teams umożliwiające m.in. tworzenie podsumowań spotkań, wydarzeń",
"39975","Centrum Medycznego Kształcenia Podyplomowego",,"Ponadto, w ramach szkoleń, stosowane były: ChatGPT model językowy, chatbot, asystent Al; Gemini model językowy, chatbot, asystent Al; Perplexity Al wyszukiwarka internetowa wykorzystująca durzy model językowy (LLM); Suno generator muzyki; Hugging Face platforma wykorzystująca sztuczna inteligencję do tworzenia aplikacji; Eleven Labs platforma, narzędzie służące do tworzenia syntetycznych głosów, przetwarzania tekstu na mowę i mowy na tekst; Bolt.new platforma wykorzystująca sztuczna inteligencję do tworzenia aplikacji.",
"39975","Centrum Medycznego Kształcenia Podyplomowego",,"yły testowane również następujące rozwiązania dla celu przeprowadzenia proof of concept: Notta.ia narzędzie do transkrypcji, podsumowań i streszczeń; HyGen generator wirtualnych avatarów; Whisper z bibliotekami pythona zbiór narzędzi, które po połączeniu pozwalają na transkrypcję z wykorzystaniem sztucznej inteligencji lokalnie, bez konieczności eksportowania danych poza organizacje; Al Quiz Generator - wtyczka analizująca materiały załączone do kursu w Moodlu w celu przygotowania pytań do kursu; Chatbot chatbot. ",
"39979","Karkonoska Akademia Nauk Stosowanych w Jeleniej Górze","ChatGPT",,
"40002","Politechnika Morska w Szczecinie","Microsoft 365 Copilot","wsparcie przy redagowaniu dokumentów, analiza danych, generowanie podsumowań",
"40002","Politechnika Morska w Szczecinie","ChatGPT","tworzenie treści technicznych, streszczeń, propozycji tekstowych",
"40002","Politechnika Morska w Szczecinie","Photoshop","edycja grafiki rastrowej",
"40002","Politechnika Morska w Szczecinie","DeepL","komunikacja",
"40002","Politechnika Morska w Szczecinie","Canva","projektowanie graficzne różnorodnych materiałów wizualnych, takich jak prezentacje, posty w mediach społecznościowych, plakaty, ulotki, zaproszenia i wiele innych",
"40002","Politechnika Morska w Szczecinie","Smartsupp","ma funkcję chatbota AI, która nie jest wykorzystywana",
"40006","Politechnika Śląska","ZSI Zintegrowany System Informatyczny Microsoft Dynamics 365 (D365) oraz System Obiegu Dokumentów (SOD) IntraDok","narzędzia służące obiegowi dokumentów i wymianie informacji, a także optymalizacji ścieżek podejmowania decyzji, analizom i raportowaniu.",
"40006","Politechnika Śląska","eCZP","system wspierający elektroniczne zarządzanie procesami realizowanymi w Uczelni oraz raportowanie.",
"40006","Politechnika Śląska","USOS","wraz z dodatkowymi modułami system służący do zarządzania tokiem studiów, wspierający procesy rekrutacji, analiz, ankietowania, raportowania i automatyzacji.",
"40006","Politechnika Śląska","Omega-PSIR","w pełni funkcjonalny system klasy CRIS (Current Research Information System), wspierający wgląd, analizy i raportowanie osiągnięć naukowych jednostki.",
"40006","Politechnika Śląska","EZD PUW / EZD RP","system umożliwiający elektroniczne zarządzanie dokumentacją, wspierający procesy zarządzania i raportowania.",
"40006","Politechnika Śląska","Microsoft 365 (Office 365)","system dla zapewnienia komunikacji elektronicznej, pracy grupowej, zaawansowanych aplikacji prezentacyjnych i analityczno-raportowych, w tym, m.in., Microsoft Teams dla pracy grupowej i konferencji online z automatyczną transkrypcją, analizą i raportowaniem.",
"40006","Politechnika Śląska","Microsoft Copilot",,
"40006","Politechnika Śląska","Zoom","narzędzie dla pracy grupowej i konferencji online z automatyczną transkrypcją, analizą i raportowaniem.",
"40006","Politechnika Śląska","Prolib","zaawansowany system dla obsługi bibliotek Politechniki Śląskiej, wspierający procesy analiz i raportowania.",
"40006","Politechnika Śląska","Biblioteka cyfrowa","system dla udostępniania elektronicznych zasobów Biblioteki Politechniki Śląskiej, wspierający procesy analiz i raportowania.",
"40006","Politechnika Śląska","Chatbot"," narzędzie dla interaktywnego udzielania informacji kandydatom na studia, studentom i pracownikom uczelni w zakresie podstawowych usług świadczonych przez Uczelnię i obowiązujących regulacji.",
"40006","Politechnika Śląska","ChatGPT",,
"40007","Politechnika Świętokrzyska","Jednolity System Antyplagiatowy (JSA) ","do oceny prac inżynierskich, licencjackich, magisterskich i innych prac naukowych",
"40008","Politechnika Warszawska","SAP","gospodarka własna, finanse, kapitał ludzki",
"40008","Politechnika Warszawska","USOS","zarządzanie tokiem studiów",
"40008","Politechnika Warszawska","Baza Wiedzy","ewidencja dorobku naukowego",
"40008","Politechnika Warszawska","Usługi Microsoft","wspomaganie pracy grupowej - badawczej, dydaktycznej, administracyjnej","Urząd doprecyzował, że kwestią definicji pozostaje automatyczność procesu i poza synchronizacją danych oraz natywnie wbudowaną funkcjonalnością Copilot w usługach Microsoft, wszelkie działania odbywają się poprzez ręczne zainicjowanie procesu przetwarzania."
"40009","Politechnika Wrocławska","Scopus AI","wspomagający autorów podczas wyszukiwania publikacji w ramach platformy Scopus","Przykładem jest"
"40009","Politechnika Wrocławska","Wbudowane funkcje AI w systemie Windows","nie są wykorzystywane automatycznie, a intencjonalnie przez użytkownika",
"40022","Uniwersytet Ekonomiczny w Poznaniu","FortiSIEM i Checkmk","w ramach SIEM i monitoringu serwerów"," systemy zabezpieczeń informatycznych, które automatycznie analizują zdarzenia z logów i agentów oraz generują raporty o zagrożeniach/zdarzeniach w systemach IT"
"40022","Uniwersytet Ekonomiczny w Poznaniu","Microsoft 365 (systemy Entra i Security)","analizujące zdarzenia dotyczące poczty elektronicznej, kont pracowników i studentów oraz komputerów (dla pracowników z nowymi komputerami dodanymi do MS365",
"40022","Uniwersytet Ekonomiczny w Poznaniu","CheckPoint","Pośrednio mechanizmy AI wykorzystuje system firewall CheckPoint, który korzysta z bazy wiedzy tworzonej w pewnym zakresie przez AI",
"40022","Uniwersytet Ekonomiczny w Poznaniu","Copilot",,"nstytucjonalnie nie są wykorzystywane mechanizmy AI do oceny studentów, pracowników, kandydatów czy analizy monitoringu.  Uczelnia zaznacza, że mogą być prowadzone badania w zakresie AI oraz pracownicy mogą indywidualnie korzystać z ogólnodostępnych narzędzi"
"40023","Uniwersytet Gdański","Narzędzia systemu Microsoft Office",,
"40023","Uniwersytet Gdański","MS Querry",,
"40023","Uniwersytet Gdański","Power BI",,
"40023","Uniwersytet Gdański","Abby Fine New Reader",,
"40023","Uniwersytet Gdański","Portal Intranetowy (PI)"," do zarządzania procesem kierowania pracowników na obowiązkowe szkolenia okresowe z zakresu BHP. System przetwarza dane takie jak: numer pracownika, imię, nazwisko oraz datę urodzenia, na podstawie których automatycznie generowane są raporty oraz zaświadczenia o ukończeniu szkolenia, zawierające dane osobowe pracownika oraz zakres zrealizowanego szkolenia."," Biuro Bezpieczeństwa Pracy i Ochrony Zdrowia Uniwersytetu Gdańskiego wykorzystuje"
"40024","Uniwersytet im. Adama Mickiewicza w Poznaniu","AXAPTA","obsługa procesów kadrowo-płacowych, księgowo-finansowych, zamówień publicznych, realizacja projektów",
"Uniwersytet im. Adama Mickiewicza w Poznaniu","Uniwersytet im. Adama Mickiewicza w Poznaniu","PŁATNIK","obsługa rozliczeń z ZUS",
"40024","Uniwersytet im. Adama Mickiewicza w Poznaniu","Portal Pracownika","obsługa procesów administracyjnych",
"40024","Uniwersytet im. Adama Mickiewicza w Poznaniu","E-recruiter","wspomaganie procesu rekrutacyjnego NNA",
